mh_paragraph,rn_paragraph,similarity,word_count
245,57,0.14204626092552525,150
41,63,0.12927558735022707,153
57,13,0.12523349057644986,151
165,13,0.12485147657969362,105
65,8,0.11485792438931419,155
66,4,0.11357000522148343,153
49,27,0.1066387571819143,171
130,44,0.10469494665671014,195
55,16,0.10239500727833169,140
69,35,0.09910798815362676,157
